날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,3,1,2,1.69,1.69,10168928.00,7352739.00
20170103,4,2,4,-0.11,1.58,10157860.00,4559037.00
20170104,2,3,4,-0.45,1.12,10111926.00,4606297.00
20170105,3,4,3,1.12,2.25,10225340.00,5977055.00
20170106,4,3,4,0.19,2.45,10244831.00,4547596.00
20170109,2,4,2,1.43,3.92,10391741.00,7479021.00
20170110,4,2,4,0.12,4.04,10403773.00,5947544.00
20170111,4,3,5,0.46,4.51,10451254.00,3255774.00
20170112,1,5,1,-0.12,4.39,10438542.00,9027522.00
20170113,6,1,6,0.05,4.44,10443764.00,1930587.00
20170116,1,3,4,-1.24,3.14,10314135.00,4845882.00
20170117,3,1,6,-0.33,2.80,10279631.00,1978763.00
20170118,1,5,2,-0.54,2.24,10224232.00,7412523.00
20170119,4,1,5,0.33,2.58,10258128.00,3182354.00
20170120,0,4,1,0.20,2.79,10278869.00,8874725.00
20170123,4,1,4,-1.13,1.63,10163201.00,4609528.00
20170124,3,3,4,-1.09,0.52,10052146.00,4736626.00
20170125,2,4,2,1.03,1.56,10156132.00,7498922.00
20170126,5,3,4,1.88,3.47,10346969.00,4709946.00
20170131,3,4,3,0.76,4.26,10425694.00,6536369.00
20170201,1,2,2,0.30,4.57,10456661.00,7905786.00
20170202,4,2,4,0.95,5.57,10556518.00,5211031.00
20170203,3,6,1,2.84,8.57,10856674.00,9387674.00
20170206,5,2,4,0.23,8.82,10882108.00,5026578.00
20170207,3,3,4,-0.43,8.35,10835357.00,5009257.00
20170208,3,1,6,-2.18,5.99,10598683.00,2063288.00
20170209,1,6,1,2.24,8.36,10835678.00,9332213.00
20170210,5,2,4,0.80,9.22,10921914.00,5030684.00
20170213,2,4,2,0.18,9.41,10941369.00,7918054.00
20170214,4,2,4,1.00,10.51,11050666.00,5019137.00
20170215,3,3,4,-1.47,8.88,10888239.00,4983435.00
20170216,3,3,4,-0.35,8.50,10850459.00,4995714.00
20170217,3,4,4,0.04,8.55,10855156.00,5076318.00
20170220,1,4,1,1.40,10.07,11007024.00,9438424.00
20170221,6,1,6,0.77,10.92,11092288.00,1899978.00
20170222,1,6,1,0.92,11.95,11194721.00,9608721.00
20170223,5,3,3,2.55,14.80,11479857.00,6797697.00
20170224,2,3,2,-0.40,14.34,11434419.00,8339589.00
20170227,5,1,6,-0.60,13.66,11365765.00,2271175.00
20170228,1,3,4,-1.21,12.28,11227830.00,5304380.00
20170302,1,4,2,0.13,12.42,11241993.00,8421893.00
20170303,5,2,5,1.44,14.04,11403805.00,3702775.00
20170306,2,5,2,0.60,14.72,11472016.00,8289296.00
20170307,3,1,4,1.40,16.33,11632503.00,5174576.00
20170308,2,3,3,-0.18,16.12,11611726.00,6814678.00
20170309,4,1,6,-0.66,15.35,11534810.00,2111922.00
20170310,1,6,1,-0.39,14.89,11489300.00,9885000.00
20170313,2,2,1,1.20,16.27,11626916.00,10013945.00
20170314,5,2,4,2.65,19.35,11934899.00,5326839.00
20170315,2,3,3,-0.40,18.87,11886901.00,6990586.00
20170316,4,6,1,3.69,23.26,12325592.00,10684172.00
20170317,5,1,5,1.30,24.85,12485461.00,3799156.00
20170320,2,4,3,-1.07,23.52,12352253.00,7298709.00
20170321,4,2,5,0.65,24.33,12432655.00,3918487.00
20170322,2,4,3,0.78,25.29,12529316.00,7403856.00
20170323,3,4,3,0.20,25.54,12554270.00,7653600.00
20170324,3,3,3,0.75,26.48,12648384.00,7595876.00
20170327,3,3,3,0.05,26.54,12654238.00,7431153.00
20170328,4,3,4,2.75,30.02,13001816.00,5916475.00
20170329,2,4,2,1.02,31.35,13134595.00,9478765.00
20170330,4,2,4,1.17,32.89,13288785.00,5873370.00
20170331,3,4,3,1.14,34.41,13440891.00,7833517.00
20170403,1,3,1,0.73,35.39,13538878.00,11649958.00
20170404,6,3,4,0.61,36.21,13620815.00,6361034.00
20170405,2,3,3,0.94,37.49,13749070.00,8202562.00
20170406,4,4,3,-0.74,36.47,13647394.00,8199153.00
20170407,4,1,6,0.12,36.63,13663289.00,2729213.00
20170410,1,5,2,0.33,37.09,13708770.00,10111370.00
20170411,4,3,3,0.49,37.76,13775928.00,8241812.00
20170412,3,3,3,0.51,38.47,13846612.00,8154222.00
20170413,4,3,4,2.09,41.37,14136693.00,6480319.00
20170414,3,3,4,-0.07,41.27,14127159.00,6416677.00
20170417,3,5,2,1.53,43.44,14343551.00,10463801.00
20170418,5,1,6,1.15,45.09,14509207.00,2614507.00
20170419,1,3,4,-2.00,42.19,14218552.00,6509347.00
20170420,2,4,2,0.58,43.00,14300406.00,10424116.00
20170421,4,2,4,0.12,43.18,14318164.00,6473604.00
20170424,3,5,2,-0.16,42.96,14295921.00,10635295.00
20170425,3,3,2,2.92,47.14,14713847.00,10708317.00
20170426,4,3,3,3.18,51.82,15182480.00,9019616.00
20170427,4,3,4,0.17,52.08,15208379.00,6870228.00
20170428,3,2,5,-0.79,50.89,15088918.00,4833929.00
20170502,2,4,3,-0.37,50.33,15033347.00,9064922.00
20170504,3,3,3,0.50,51.09,15108652.00,8760987.00
20170508,2,2,3,0.43,51.74,15173901.00,9434551.00
20170510,4,2,5,0.24,52.11,15210904.00,4772764.00
20170511,2,6,1,1.44,54.30,15429772.00,13286912.00
20170512,6,2,5,0.26,54.71,15470584.00,4967824.00
20170515,2,4,3,1.00,56.25,15625220.00,9328800.00
20170516,4,3,4,0.39,56.87,15686656.00,6959146.00
20170517,2,4,2,0.46,57.59,15758892.00,11362722.00
20170518,4,2,4,1.12,59.35,15934620.00,7150640.00
20170519,2,4,2,0.11,59.52,15951803.00,11472403.00
20170522,4,2,4,-0.28,59.06,15906465.00,7129445.00
20170523,3,3,4,-1.09,57.33,15732568.00,7180848.00
20170524,3,3,5,-0.57,56.43,15642951.00,6804446.00
20170525,3,5,4,0.97,57.95,15795237.00,9046323.00
20170526,3,5,2,0.87,59.33,15933251.00,11606701.00
20170529,5,1,6,0.34,59.87,15987399.00,2772199.00
20170530,1,6,1,1.13,61.68,16168204.00,13917214.00
20170531,5,1,5,-0.14,61.45,16145053.00,5068691.00
20170601,2,6,1,1.97,64.63,16463131.00,14146331.00
20170602,5,2,4,1.63,67.31,16731115.00,7503015.00
20170605,2,3,3,-0.77,66.03,16603037.00,9887637.00
20170607,2,3,2,1.35,68.27,16826683.00,12243059.00
20170608,5,2,5,2.22,72.01,17200762.00,5476636.00
20170609,1,4,2,-0.38,71.35,17134771.00,12466575.00
20170612,4,3,3,1.43,73.80,17379623.00,10242023.00
20170613,2,3,2,0.24,74.22,17421796.00,12605851.00
20170614,4,1,5,0.03,74.27,17426602.00,5443077.00
20170615,2,5,2,0.39,74.95,17494760.00,12726030.00
20170616,5,2,5,2.09,78.61,17860950.00,5657764.00
20170619,0,4,1,0.06,78.71,17871070.00,15487798.00
20170620,5,2,4,-0.64,77.57,17756501.00,8174931.00
20170621,3,2,5,-0.84,76.06,17606476.00,5777556.00
20170622,2,4,4,0.81,77.50,17749848.00,10261288.00
20170623,4,4,5,0.28,78.00,17799890.00,7073430.00
20170626,2,5,2,1.41,80.51,18050654.00,13234649.00
20170627,3,2,3,1.51,83.24,18323520.00,11028738.00
20170628,4,4,3,1.51,86.01,18601059.00,10923339.00
20170629,3,3,3,1.44,88.70,18869516.00,10959616.00
20170630,3,3,3,-0.82,87.14,18714174.00,11024562.00
20170703,3,3,3,0.82,88.68,18868449.00,11034633.00
20170704,4,3,5,-0.21,88.29,18829278.00,5971978.00
20170705,2,4,3,0.33,88.91,18891039.00,11139773.00
20170706,4,3,4,1.12,91.02,19101894.00,8503374.00
20170707,2,4,2,0.19,91.39,19138676.00,13830036.00
20170710,3,2,3,1.00,93.29,19329396.00,11228481.00
20170711,3,3,3,0.17,93.63,19362841.00,11318968.00
20170712,3,3,3,0.54,94.68,19467841.00,11320996.00
20170713,2,4,1,2.06,98.70,19869746.00,17065586.00
20170714,4,2,3,0.99,100.66,20065662.00,11786678.00
20170717,1,3,1,1.25,103.16,20316216.00,17421051.00
20170718,3,2,2,1.30,105.79,20579369.00,15000369.00
20170719,5,3,4,1.50,108.88,20887588.00,9483888.00
20170720,2,4,2,0.87,110.70,21070108.00,15254248.00
20170721,3,2,3,0.10,110.92,21091541.00,12304815.00
20170724,3,4,2,1.93,114.99,21498577.00,15762813.00
20170725,5,2,5,0.74,116.57,21656997.00,6710327.00
20170726,2,3,4,-0.25,116.02,21602422.00,9767102.00
20170727,3,5,2,1.68,119.66,21966409.00,15942139.00
20170728,5,2,5,-0.42,118.73,21873334.00,6745694.00
20170731,2,3,4,0.39,119.60,21959514.00,10065329.00
20170801,2,4,2,-1.21,116.93,21692813.00,15939623.00
20170802,4,1,5,1.09,119.29,21929128.00,7195881.00
20170803,2,4,3,0.51,120.42,22041900.00,13137680.00
20170804,3,5,1,1.85,124.50,22449997.00,19419997.00
20170807,4,2,3,0.55,125.73,22573032.00,16520307.00
20170808,4,2,5,-0.64,124.28,22427545.00,7112380.00
20170809,1,5,1,1.05,126.64,22663729.00,19497979.00
20170810,6,3,4,0.82,128.51,22850569.00,10431153.00
20170811,3,3,4,-0.92,126.39,22639215.00,10974455.00
20170814,2,3,3,0.13,126.68,22668248.00,14182348.00
20170816,2,3,3,0.41,127.61,22761450.00,14116552.00
20170817,4,3,4,0.13,127.90,22790003.00,10233501.00
20170818,3,4,3,1.53,131.40,23139662.00,13386547.00
20170821,2,4,1,0.98,133.66,23365967.00,20129327.00
20170822,4,1,4,-0.18,133.24,23324451.00,10456782.00
20170823,2,2,4,0.44,134.27,23427328.00,10669657.00
20170824,3,3,5,0.85,136.27,23626859.00,9510848.00
20170825,2,4,3,-0.97,133.97,23397436.00,13785492.00
20170828,4,3,4,-0.05,133.87,23386590.00,13798580.00
20170829,4,3,5,0.81,135.76,23575912.00,7409164.00
20170830,2,6,1,1.53,139.36,23935704.00,20671776.00
20170831,5,2,4,1.54,143.04,24303636.00,10964718.00
20170901,2,4,2,1.82,147.47,24746935.00,17877315.00
20170904,5,5,2,3.42,155.92,25592314.00,18751906.00
20170905,3,2,3,0.61,157.48,25747690.00,14997217.00
20170906,4,1,6,-0.21,156.94,25693933.00,4256821.00
20170907,1,5,2,1.02,159.56,25956127.00,18907769.00
20170908,4,2,4,-0.96,157.07,25707453.00,11664346.00
20170911,2,4,2,2.88,164.49,26448765.00,18995536.00
20170912,4,2,4,0.18,164.97,26496879.00,11885898.00
20170913,3,3,5,0.03,165.04,26504485.00,9626824.00
20170914,2,5,2,0.82,167.22,26722186.00,19309106.00
20170915,5,2,5,0.92,169.69,26968789.00,8322939.00
20170918,2,4,3,0.08,169.90,26989720.00,16038422.00
20170919,4,3,4,0.64,171.63,27163031.00,12756754.00
20170920,3,3,4,-1.09,168.66,26866016.00,12546995.00
20170921,3,5,2,1.26,172.03,27203385.00,20087895.00
20170922,4,3,3,0.05,172.18,27217696.00,15979266.00
20170925,3,4,2,0.97,174.81,27481126.00,20373834.00
20170926,4,3,3,2.46,181.58,28158317.00,16569042.00
20170927,3,4,2,-0.42,180.39,28038868.00,20678794.00
20170928,2,1,3,0.26,181.13,28113091.00,16802271.00
20170929,4,3,4,-0.22,180.52,28051801.00,12603906.00
20171010,2,4,2,0.55,182.07,28206666.00,20488186.00
20171011,2,2,2,0.65,183.91,28390712.00,20458180.00
20171012,4,2,4,1.07,186.95,28694977.00,12772621.00
20171013,3,4,3,0.75,189.10,28910134.00,16986229.00
20171016,3,2,4,-0.68,187.15,28714758.00,13181882.00
20171017,3,3,4,0.34,188.13,28812831.00,13083091.00
20171018,3,2,5,0.32,189.05,28905068.00,9231556.00
20171019,2,5,2,-0.15,188.62,28861877.00,21034632.00
20171020,2,2,2,1.02,191.57,29157134.00,21309013.00
20171023,4,2,4,-0.10,191.28,29127516.00,13100516.00
20171024,2,4,2,0.68,193.24,29324264.00,21181804.00
20171025,4,2,4,0.74,195.43,29542518.00,13204148.00
20171026,1,4,1,0.85,197.94,29793921.00,25620261.00
20171027,4,2,3,2.24,204.62,30461668.00,17861803.00
20171030,1,4,0,1.51,209.20,30920470.00,30920470.00
20171031,6,1,5,1.76,214.65,31465096.00,9841476.00
20171101,1,3,3,-1.37,210.34,31034255.00,18573671.00
20171102,4,3,4,-0.22,209.67,30966762.00,14144102.00
20171103,3,3,4,0.54,211.35,31135003.00,14279378.00
20171106,2,3,3,-0.33,210.33,31032720.00,18373455.00
20171107,3,3,3,0.40,211.56,31155851.00,18255116.00
20171108,4,3,4,1.72,216.91,31691115.00,14004085.00
20171109,3,2,5,0.26,217.72,31772065.00,10004145.00
20171110,2,5,3,-0.18,217.16,31716436.00,20959246.00
20171113,4,3,4,0.15,217.63,31763378.00,14331338.00
20171114,3,3,4,0.96,220.70,32069718.00,14318149.00
20171115,2,5,2,0.89,223.57,32356553.00,23708823.00
20171116,3,2,3,0.70,225.83,32582998.00,19072122.00
20171117,4,3,4,1.33,230.17,33016700.00,14966450.00
20171120,0,4,0,0.53,231.93,33192740.00,33192740.00
20171121,5,1,4,2.52,240.29,34029433.00,15165145.00
20171122,3,6,1,1.98,247.02,34701702.00,30161097.00
20171123,2,0,3,0.64,249.24,34924277.00,20555237.00
20171124,3,4,2,1.60,254.84,35483981.00,25853381.00
20171127,4,2,4,2.77,264.68,36467729.00,16589944.00
20171128,2,4,2,-0.12,264.23,36423007.00,26619178.00
20171129,4,3,3,2.08,271.80,37180131.00,21957321.00
20171130,4,2,5,-1.46,266.38,36637752.00,11512082.00
20171201,2,4,3,-0.15,265.83,36583265.00,21775165.00
20171204,3,4,2,1.78,272.34,37234392.00,27060332.00
20171205,2,2,2,0.24,273.25,37324959.00,26906409.00
20171206,4,2,4,0.79,276.22,37621660.00,17229914.00
20171207,2,3,3,-1.26,271.48,37147861.00,22650695.00
20171208,4,2,5,-1.03,267.66,36765694.00,11175614.00
20171211,2,7,0,3.19,279.38,37938383.00,37938383.00
20171212,7,0,7,-0.93,275.86,37586448.00,1194568.00
20171213,0,5,2,0.92,279.32,37931550.00,27591057.00
20171214,3,2,4,-0.08,279.02,37902231.00,17202013.00
20171215,1,2,3,0.95,282.62,38262320.00,22847488.00
20171218,1,3,1,0.27,283.67,38366575.00,33169735.00
20171219,6,1,6,-1.90,276.36,37636304.00,6586573.00
20171220,0,6,0,1.06,280.34,38033928.00,38033928.00
20171221,7,1,6,-0.65,277.86,37786051.00,6891451.00
20171222,1,6,1,-0.18,277.18,37717593.00,32917413.00
20171226,5,0,6,-0.76,274.33,37432535.00,6906927.00
20171227,0,5,1,1.02,278.15,37814502.00,32636516.00
20171228,5,1,5,1.67,284.46,38446075.00,11722427.00
20180102,1,5,1,1.78,291.32,39131527.00,33675527.00
20180103,4,3,2,2.91,302.71,40271270.00,29290270.00
